,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement
,0.66,2.734,2.198,0.66,3.145,2.217,0.66,12.093,4.269,0.66,3.684,1.321,0.66,2.304,1.258,0.66,5.158,2.830,0.66,4.870,2.558,0.66,4.082,3.862,0.66,2.980,1.243,0.66,5.689,3.967
,0.67,2.731,2.199,0.67,3.163,2.235,0.67,2.440,1.847,0.67,3.448,1.267,0.67,2.321,1.256,0.67,5.161,2.829,0.67,4.867,2.556,0.67,4.089,3.869,0.67,2.912,1.238,0.67,5.682,3.959
,0.68,2.733,2.202,0.68,3.176,2.251,0.68,6.056,2.400,0.68,3.490,1.281,0.68,2.348,1.254,0.68,5.173,2.831,0.68,4.862,2.553,0.68,4.079,3.861,0.68,2.863,1.237,0.68,5.674,3.950
,0.69,2.728,2.204,0.69,3.169,2.258,0.69,2.391,1.829,0.69,3.522,1.293,0.69,2.313,1.250,0.69,5.189,2.834,0.69,4.854,2.549,0.69,4.104,3.883,0.69,2.827,1.236,0.69,5.678,3.950
,0.6,2.738,2.187,0.6,3.075,2.133,0.6,5.365,2.213,0.6,4.031,1.384,0.6,2.278,1.275,0.6,5.156,2.845,0.6,4.860,2.556,0.6,4.101,3.874,0.6,2.980,1.224,0.6,5.665,3.962
,0.71,2.722,2.208,0.71,3.190,2.290,0.71,12.452,4.399,0.71,3.918,1.395,0.71,2.316,1.244,0.71,5.218,2.840,0.71,4.854,2.547,0.71,4.069,3.856,0.71,5.014,1.707,0.71,5.689,3.954
,0.72,2.716,2.210,0.72,3.210,2.310,0.72,13.727,4.819,0.72,3.891,1.394,0.72,2.302,1.240,0.72,5.252,2.850,0.72,4.881,2.561,0.72,4.098,3.881,0.72,5.012,1.711,0.72,5.656,3.925
,0.73,2.732,2.214,0.73,3.215,2.324,0.73,2.292,1.788,0.73,3.829,1.385,0.73,2.287,1.237,0.73,5.261,2.851,0.73,4.873,2.556,0.73,4.108,3.890,0.73,2.866,1.256,0.73,5.662,3.928
,0.74,2.719,2.216,0.74,3.213,2.334,0.74,13.502,4.747,0.74,3.570,1.331,0.74,2.281,1.233,0.74,5.285,2.858,0.74,4.849,2.544,0.74,4.135,3.914,0.74,4.940,1.693,0.74,5.666,3.928
,0.75,2.728,2.219,0.75,3.251,2.364,0.75,12.527,4.435,0.75,3.865,1.405,0.75,2.289,1.231,0.75,5.307,2.863,0.75,4.891,2.564,0.75,4.119,3.901,0.75,2.818,1.262,0.75,5.681,3.937
,0.76,2.722,2.221,0.76,3.265,2.384,0.76,12.853,4.542,0.76,3.836,1.403,0.76,2.281,1.227,0.76,7.315,3.646,0.76,4.880,2.559,0.76,4.104,3.889,0.76,2.746,1.265,0.76,5.676,3.930
,0.77,2.725,2.224,0.77,3.230,2.382,0.77,12.655,4.481,0.77,3.833,1.409,0.77,2.283,1.224,0.77,5.298,2.854,0.77,4.953,2.594,0.77,4.105,3.891,0.77,2.772,1.271,0.77,5.696,3.944
,0.78,2.722,2.226,0.78,3.266,2.411,0.78,12.755,4.515,0.78,3.625,1.370,0.78,2.276,1.221,0.78,5.304,2.853,0.78,4.876,2.556,0.78,4.105,3.891,0.78,2.766,1.276,0.78,5.700,3.944
,0.79,2.717,2.228,0.79,3.291,2.436,0.79,11.875,4.226,0.79,3.627,1.377,0.79,2.269,1.217,0.79,5.307,2.852,0.79,4.933,2.584,0.79,4.096,3.886,0.79,2.776,1.282,0.79,5.714,3.952
,0.7,2.717,2.205,0.7,3.178,2.274,0.7,6.638,2.567,0.7,3.949,1.399,0.7,2.317,1.247,0.7,5.212,2.841,0.7,4.851,2.547,0.7,4.110,3.889,0.7,2.810,1.239,0.7,5.649,3.925
,0.81,2.718,2.233,0.81,3.312,2.474,0.81,12.055,4.294,0.81,3.828,1.435,0.81,2.256,1.210,0.81,5.308,2.846,0.81,4.935,2.583,0.81,4.077,3.870,0.81,2.775,1.293,0.81,5.731,3.959
,0.82,2.724,2.236,0.82,3.346,2.503,0.82,12.173,4.337,0.82,3.654,1.407,0.82,2.256,1.206,0.82,5.275,2.830,0.82,4.939,2.585,0.82,4.037,3.838,0.82,2.726,1.297,0.82,5.740,3.963
